№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
1	22	29	1	1	1	Sosua		C21	2914	0,76	0,71
2	22	29	1	1	0,6	Sosua		C21	3139	0,76	0,71
3	25	27	1	1		Sosua		West	3361	0,93	0,86
4	27,5	38	1	1		Sosua		Coral	9107	0,72	0,67
5	27,5	60	1	1		Sosua		Coral	9073	0,46	0,43
6	28	50	1	1		Sosua		DR	4031	0,56	0,52
7	29,9	41	1	1		Sosua		Coral	8041	0,73	0,68
8	30	54	1	1		Sosua		West	3577	0,56	0,52
9	31	48	1	1	1	Sosua		C21	2912	0,65	0,6
10	32	41	1	1		Sosua		Coral	9106	0,78	0,73
11	32,5	35	1	1		Sosua		Coral	8020	0,93	0,86
12	32,5	52	1	1		Sosua		West	3576	0,63	0,58
13	33,9	33	1	1		Sosua		Coral	8045	1,03	0,96
14	34,5	40	1	1		Sosua		Coral	3032	0,86	0,8
15	35	35	1	1		Sosua		Coral	1024	1	0,93
16	35	38	1	1		Sosua		DR	4004	0,92	0,86
17	35	40	1	1		Sosua		Coral	6035	0,88	0,81
18	35,5	35	1	1		Sosua		Coral	8003	1,01	0,94
19	36	55	1	1		Sosua		Coral	9075	0,65	0,61
20	36	59	1	1	0,6	Sosua		C21	3127	0,61	0,57
21	36,9	35	1	1		Sosua		Coral	8037	1,05	0,98
22	37	34	1	1		Sosua		DR	1447	1,09	1,01
23	37	36	1	1		Sosua		Coral	43	1,03	0,96
24	37,5	30	1	1		Sosua		Coral	8044	1,25	1,16
25	38	32	1	1	1	Sosua		C21	1903	1,19	1,1
26	38,5	32	1	1		Sosua		Coral	7011	1,2	1,12
27	38,5	36	1	1		Sosua		Coral	8016	1,07	0,99
28	39	58	1	1	0,6	Sosua		C21	2569	0,67	0,63
29	39	65	1	2	1,8	Sosua		C21	2901	0,6	0,56
30	39,8	32	1	1		Sosua		Coral	8038	1,24	1,16
31	39,8	65	1	1		Sosua		Coral	9067	0,61	0,57
32	40	43	1	1		Sosua		West	3110	0,93	0,87
33	40	49	1	1		Sosua		West	3812	0,82	0,76
34	42	50	1	1		Sosua		Coral	8034	0,84	0,78
35	43	38	1	1		Cabarete		DR	3960	1,13	1,05
36	43	38	2	2	3	Sosua		C21	2681	1,13	1,05
37	44	51	1	1	1,2	Sosua		C21	2818	0,86	0,8
38	45	41	1	1		Sosua		DR	4003	1,1	1,02
39	45	50	1	1		Sosua		West	2249	0,9	0,84
40	45	51	1	1		Sosua		Coral	9092	0,88	0,82
41	45	58	1	1	1,3	Sosua		C21	2915	0,78	0,72
42	45	59	1	1		Sosua		West	3200	0,76	0,71
43	45	60	2	2		Sosua		West	3483	0,75	0,7
44	45	65	1	1		Sosua		DR	3770	0,69	0,64
45	45	65	1	1		Sosua		DR	3782	0,69	0,64
46	45	69	1	1	4	Sosua		C21	2474	0,65	0,61
47	45	70	1	1		Sosua		West	3534	0,64	0,6
48	46	65	1	1	1,8	Sosua		C21	2696	0,71	0,66
49	48	68	1	1	2	Sosua		C21	2687	0,71	0,66
50	48	70	1	1	2	Sosua		C21	2662	0,69	0,64
51	49	40	1	1	3	Sosua		C21	2874	1,23	1,14
52	49	50	1	1	1,5	Sosua		C21	2958	0,98	0,91
53	49	65	1	1	1	Sosua		C21	2910	0,75	0,7
54	49	70	1	1	2	Sosua		C21	2541	0,7	0,65
55	49,5	47	1	1	0,1	Cabarete		KI	452	1,05	0,98
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
56	49,5	50	1	1	0,2	Sosua		C21	3152	0,99	0,92
57	50	46	1	1		Cabarete		DR	3868	1,09	1,01
58	50	51	1	1		Sosua		West	3743	0,98	0,91
59	50	55	1	1		Sosua		DR	3927	0,91	0,85
60	50	65	1	1	1,8	Sosua		C21	2400	0,77	0,72
61	52	65	1	1		Sosua		West	3563	0,8	0,74
62	52	65	1	1	1,2	Sosua		C21	2816	0,8	0,74
63	52	69	1	1		Sosua		West	3811	0,75	0,7
64	52	80	2	1	0,8	Sosua		C21	2869	0,65	0,6
65	52,5	69	1	1	4	Sosua		C21	2519	0,76	0,71
66	54	81	2	1	5	Sosua		KI	434	0,67	0,62
67	54,9	40	1	1		Cabarete		Coral	6064	1,37	1,28
68	54,9	51	1	1		Sosua		Coral	9105	1,08	1
69	55	42	1	1		Cabarete		Coral	6192	1,31	1,22
70	55	44	1	1	1,5	Sosua		C21	3061	1,25	1,16
71	55	50	1	1		Cabarete		DR	1530	1,1	1,02
72	55	54	2	2		Sosua		Coral	9102	1,02	0,95
73	55	57	2	2	3,5	Sosua		C21	2904	0,96	0,9
